"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274590029614047232","","","","","2012-11-30 19:05:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Jetzt auch f?r Safari: http://t.co/4VJheCRE

?@qrios: Extension f?r Chrome: Leistungssch?tzer ausblenden http://t.co/wUaz7n8a #lsr?","http://www.stefanseiz.com/lsr/","http://qrios.de/2012/11/extension-fur-chrome-leistungsschutzer-ausblenden/"
"270482709002989569","270446107178459136","12815","","","2012-11-19 11:04:37 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",".@vpieters Works for me with a german Keyboard."
"270482003562999809","270473356543938560","14972649","","","2012-11-19 11:01:49 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@rstockm Na ja, nicht so unsexy wie die Amiando Papiertickets ;-) Hauptsache, die funktionieren dann im Mai auch tats?chlich."
"270472881119584257","","","","","2012-11-19 10:25:35 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","There we go: 

#rp13 http://t.co/PHojmu6D","http://twitter.com/seiz/status/270472881119584257/photo/1"
"270201440977424384","270157307705442304","15181260","","","2012-11-18 16:26:58 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@aleks_be @cruiser607 ich nehm die 6000? Sofortrente."
"270144050177380352","","","","","2012-11-18 12:38:55 +0000","<a href=""http://www.instapaper.com/"" rel=""nofollow"">Instapaper</a>","Sehr gute Analyse: Microsoft has failed | SemiAccurate http://t.co/mleBWWUe (via Instapaper)","http://semiaccurate.com/2012/11/14/microsoft-has-failed/"
"269949151326904321","","","269877416435007488","139115795","2012-11-17 23:44:27 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @sotoole: @jdalrymple You're going to love this...check out the name of the Apple employee helping out my wife's Aunt! http://t.co/5J ..."
"269945188338774016","269852243245817856","7907312","","","2012-11-17 23:28:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@uknaus omfg."
"269867108563832832","","","","","2012-11-17 18:18:27 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Die Datteln haben sich versteckt und die Orangen auch. http://t.co/8i0SgJr1 http://t.co/nnziXbck","http://twitpic.com/be21b0","http://twitpic.com/be21f5"
"269848661427617794","269846412441837568","15753084","","","2012-11-17 17:05:09 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@cruiser607 zwei mal die Gala lesen?"
"269835017516089344","","","","","2012-11-17 16:10:56 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","? Myron &amp; The Works, Beautiful Love h?ren und einen Orangen Fenchel Salat anrichten."
"269740479506182144","","","","","2012-11-17 09:55:16 +0000","<a href=""http://www.instapaper.com/"" rel=""nofollow"">Instapaper</a>","Nerdig und irgendwie Scary. Bin froh, dass unsere Wahlk?mpfe nicht so technologisch gef?hrt werden. http://t.co/1M9bcxhU","http://m.theatlantic.com/technology/archive/2012/11/when-the-nerds-go-marching-in/265325/"
"269738434535505920","","","","","2012-11-17 09:47:08 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Da stimmt irgendwas nicht. http://t.co/nwkHpGC2","http://twitpic.com/bdx7mu"
"269736452361945089","269717784764760065","14952125","","","2012-11-17 09:39:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@peate Fr?h dran. Habt Ihr nen neuen Wecker? ;)
#kleinerherr"
"269713463906033664","","","","","2012-11-17 08:07:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Twitter auf dem Weg zu MySpace?
http://t.co/t07XmpX4","http://bit.ly/T77H4g"
"269507399742795776","","","","","2012-11-16 18:29:05 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","In der Waschmaschine verschwindende Socken kennt man ja, aber diese hohlen Plastikdinger in die man das Fl?ssigwaschmittel f?llt? Wtf!"
"269498143064879105","","","","","2012-11-16 17:52:18 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Beautiful Fonts are beautiful. Typography is using beautiful fonts that make reading a pleasure. The new @37svn just uses beautiful fonts."
"269483465437765634","","","","","2012-11-16 16:53:59 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Diese Woche 2 RWDs fertig gemacht. Zeit f?r ein Wochenende ohne Breakpoints und Mediaqueries."
"269148989331476481","","","","","2012-11-15 18:44:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Kann Mann sich in eine Tasche verlieben? Ich glaub schon. http://t.co/Ciz9DAaJ

#peatemachtmicharm","http://www.hardgraft.com/products/flatpack-shore"
"269125805127393282","","","","","2012-11-15 17:12:46 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Zur?ck in die Zukunft: Jetzt ?berziehen auch schon Podcasts und nachfolgende Sendungen m?ssen warten. Harr, harr. http://t.co/tUNhO44b","http://bit.ly/UGo2zM"
"269117738193125376","269117278820388864","38022284","","","2012-11-15 16:40:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@HubertMayer ja, aber bei der Masse kann man sich schon mal ?bersehen."
"269117222969016320","","","","","2012-11-15 16:38:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","#rp13, ich werde ein Ticket kaufen und es auch benutzen."
"269116984053096448","269029610560299008","18340955","","","2012-11-15 16:37:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@SuGGuS ich werde wieder hin gehen. War dieses Jahr das 1. Mal, war klasse."
"268796785647038464","","14952125","","","2012-11-14 19:25:23 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@peate Serviervorschlag (etwas unscharf): http://t.co/Y8rsu3Lt","http://twitter.com/seiz/status/268796785647038464/photo/1"
"268794807676190720","","14952125","","","2012-11-14 19:17:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@peate Mein OKA Schreibtisch: http://t.co/B2UALKun
Mit Gasdruck haste den schneller verstellt als mit Motor. Prima Sache.","http://www.oka.de/cms/de/184/OKA-Jump"
"268781352688709632","268756914274447360","14952125","","","2012-11-14 18:24:02 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@peate na da kann der Tesla ja kommen ;)"
"268741051177639936","268632886746443776","14952125","","","2012-11-14 15:43:54 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@peate ich hab so einen (ohne Motor mag ich lieber) der ist sch?ner. Schick Dir mal nen Link, wenn ich ihn finde. Kostet ca 1100."
"268313213496619010","268249413871362048","14952125","","","2012-11-13 11:23:49 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@peate Schweiss wo dein Haus wohnt. Mach bloss mein D?ner net an, Adle!"
"268310183812427776","268158359977472000","19961453","","","2012-11-13 11:11:47 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",".@ChristophKappes Let me introduce you: NEC, german Datenschutz. German Datenschutz, NEC. #welcometothefutureofshopping"
"268035795670151168","","274626857","","","2012-11-12 17:01:28 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@tweetbot FYI: Sync via iCloud kind of sucks. Sometimes works, sometimes doesn?t. Not reproducible."
"267887603519459328","267746370704797696","61133","","","2012-11-12 07:12:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@zeldman why do so many US hotel rooms look like this. What?s it with that weird colonial kind of style?"
"267737085509775360","267718389248716800","18218654","","","2012-11-11 21:14:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",".@frischkopp Auf der Tour dopen doch alle Topfahrer, meiner Meinung nach. Sonst gewinnt man die nicht. Ist alles etwas scheinheilig."
"267624795204640769","267624628262957058","4591101","","","2012-11-11 13:48:18 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","@ste7130 sind sie. Definitiv."
"267624413753647105","","","","","2012-11-11 13:46:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Homeland S02E01. So schnell wie ich das weg glotze, k?nnen die das gar nicht produzieren."
"267622299975421952","","","","","2012-11-11 13:38:23 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","Am 31.10 gekauft. Was machen die mit den Rosen, dass die so lange halten? http://t.co/rOpoIzGS","http://twitpic.com/bccab9"
